image,preprocess,text_threshold,mag_ratio,contrast_ths,decoder,predicted_text,avg_confidence,cer,elapsed_sec
easyOCR_testimg\img_003_16px.png,clahe,0.5,1.8,0.3,beamsearch, II [I어파이프 _ UI,0.3122,N/A,7.211
easyOCR_testimg\img_003_16px.png,clahe,0.7,1.0,0.1,greedy,[[어파이프,0.342,N/A,2.392
easyOCR_testimg\img_003_16px.png,clahe,0.7,1.0,0.1,beamsearch,[[어파이프,0.342,N/A,1.997
easyOCR_testimg\img_003_16px.png,clahe,0.7,1.0,0.3,greedy,[[어파이프,0.342,N/A,2.281
easyOCR_testimg\img_003_16px.png,clahe,0.7,1.0,0.3,beamsearch,[[어파이프,0.342,N/A,2.37
easyOCR_testimg\img_003_16px.png,clahe,0.7,1.8,0.1,greedy,II [I어파이프 UI,0.4991,N/A,7.114
easyOCR_testimg\img_003_16px.png,clahe,0.7,1.8,0.1,beamsearch,II [I어파이프 UI,0.4991,N/A,7.248
easyOCR_testimg\img_003_16px.png,clahe,0.7,1.8,0.3,greedy,II [I어파이프 UI,0.4991,N/A,7.139
easyOCR_testimg\img_003_16px.png,clahe,0.7,1.8,0.3,beamsearch,II [I어파이프 UI,0.4991,N/A,7.17
easyOCR_testimg\img_003_16px.png,adaptive_thresh,0.5,1.0,0.1,greedy,[[I이파이프,0.2663,N/A,2.369
easyOCR_testimg\img_003_16px.png,adaptive_thresh,0.5,1.0,0.1,beamsearch,[I이파이프,0.2663,N/A,2.286
easyOCR_testimg\img_003_16px.png,adaptive_thresh,0.5,1.0,0.3,greedy,[[I이파이프,0.2663,N/A,2.331
easyOCR_testimg\img_003_16px.png,adaptive_thresh,0.5,1.0,0.3,beamsearch,[I이파이프,0.2663,N/A,2.375
easyOCR_testimg\img_003_16px.png,adaptive_thresh,0.5,1.8,0.1,greedy,TI  ' +이 [IC,0.282,N/A,7.468
easyOCR_testimg\img_003_16px.png,adaptive_thresh,0.5,1.8,0.1,beamsearch,TI  ' +이 [IC,0.282,N/A,7.598
easyOCR_testimg\img_003_16px.png,adaptive_thresh,0.5,1.8,0.3,greedy,TI  ' +이 [IC,0.282,N/A,7.835
easyOCR_testimg\img_003_16px.png,adaptive_thresh,0.5,1.8,0.3,beamsearch,TI  ' +이 [IC,0.282,N/A,7.432
easyOCR_testimg\img_003_16px.png,adaptive_thresh,0.7,1.0,0.1,greedy,[[I이파이프,0.2663,N/A,2.512
easyOCR_testimg\img_003_16px.png,adaptive_thresh,0.7,1.0,0.1,beamsearch,[I이파이프,0.2663,N/A,2.333
easyOCR_testimg\img_003_16px.png,adaptive_thresh,0.7,1.0,0.3,greedy,[[I이파이프,0.2663,N/A,2.331
easyOCR_testimg\img_003_16px.png,adaptive_thresh,0.7,1.0,0.3,beamsearch,[I이파이프,0.2663,N/A,2.381
